In which country were you born?,In which city were you born?,"In which languages (spoken, not programming!) are you proficient? (Please list languages separated by commas). ",Number of languages spoken,Which is your preferred OS?,Which is your preferred mobile OS?,"What field(s) do you think can benefit the most from visualization? (If you have multiple answers, please separate them with a comma)",Please rank the animals you like most in the following list.   [First Choice],Please rank the animals you like most in the following list.   [Second Choice],Please rank the animals you like most in the following list.   [Third Choice ],What is your favorite color?,What is your favorite number?,What temperature is it outside right now? (In Celsius) ,"On average, how many cups of coffee do you drink each day?",What time do you typically wake up? ,What time do you typically go to bed? ,What is your favorite visualization? 
United States of America,New York City,"Chinese (first), English, ",2,Apple,Apple iOS,"Finance, company valuations. Inventories, sales, marketing. ",Llama,Sea Turtle,Flying squirrel,Black,3,-1,1,7:00:00 AM,1:00:00 AM,Heat map
United States of America,Newington,English,1,Apple,Apple iOS,"Education,Medicine,Sports",Dolphin,Elephant,Llama,Purple,14,-3,0,9:30:00 AM,1:30:00 AM,Scatterplot
China,Beijing,"Chinese, English",2,Apple,Apple iOS,find out the relationship between data,Cat,Sea Turtle,Elephant,Purple,8,-3,0,9:00:00 AM,1:00:00 AM,"The Gaps Between White and Black America, in Charts from New York Times"
United States of America,Greenfield,English,1,Windows,Apple iOS,"Finance, medical",Llama,Sea Turtle,Mouse,Light blue,9,-1,1,10:00:00 AM,2:00:00 AM,"Line charts, heatmaps"
United States of America,Providence,English,1,Apple,Apple iOS,Creating powerful visual slides for clients ,Sea Turtle,Dolphin,Elephant,Blue,16,-1,2,7:30:00 AM,12:00:00 PM,Bar graph
United States of America,Chicago,Englsih,1,Windows,Apple iOS,"Data Science, Marketing, Finance, Consulting",Sea Turtle,Dolphin,Elephant,Purpler,10,-1,1,9:00:00 AM,12:00:00 AM,Scatterplot
United States of America,New York City,"English, Italian",2,Windows,Apple iOS,"Every field, Urban informatics",Cat,Flying squirrel,Hedgehog,Yellow,759,0,0,8:15:00 AM,1:00:00 AM,"Not sure, but I do love maps as a whole"
Thailand,Bangkok,"English, Thai, Japanese",3,Windows,Andriod,Healthcare,Cat,Llama,Dolphin,Blue,9,-2,0.5,12:00:00 PM,5:00:00 AM,Bar graph
Venezuela,Caracas,"English, Spanish",2,Apple,Apple iOS,"Data analytics, climate change, economics. geospatial studies, medicine ",Llama,Cat,Dolphin,Blue,18,-2,2.5,7:30:00 AM,12:00:00 AM,Bar graph
Singapore,Singapore,English,1,Windows,Apple iOS,"UI/UX, Web/ Mobile Development",Dog,Elephant,Dolphin,Pink,64,-2,0,9:00:00 AM,1:00:00 AM,Fantasy Football Statistics
United States of America,Storrs,"English, Chinese",2,Apple,Apple iOS,"Finance, healthcare",Dolphin,Cat,Llama,Black,7,-2,1,6:30:00 AM,12:00:00 AM,Violinplot
United States of America,Rockville,"English, Korean",2,Windows,Apple iOS,Data Science,Dolphin,Sea Turtle,Dog,Blue,9,-2,0.5,8:00:00 AM,12:00:00 AM,Pie chart
United States of America,Manhasset,"English, French",2,Windows,Apple iOS,I believe that unbiased visualization is an extremely powerful tool for influencing public opinion to push for policy change at a political level,Cat,Moose,Hedgehog,Pink,17,-2,0,8:30:00 AM,1:30:00 AM,https://www.stevengbraun.com/dev/radical-reactions/ This visualization is a really cool intersection of physics and linguistics
United States of America,New York City,English,1,Windows,Andriod,healthcare,Dog,Elephant,Dolphin,Blue,284,-2,0,10:00:00 AM,1:00:00 AM,Scatterplot
United States of America,Morristown,"English, Hindi",2,Apple,Apple iOS,"healthcare, transportation, retail, finance",Dolphin,Elephant,Llama,blue,8,-1,0,8:00:00 AM,12:30:00 AM,maps
United States of America,Newton,"English, Marathi, Hindi, French (a few classes in Greek and Mandarin!)",4,Apple,Apple iOS,I think in astronomy with the discovery of planets and stars it might be helpful to create these tools to keep track and learn more.,Llama,Sea Turtle,Elephant,Purple,24,-1,1,10:00:00 AM,11:00:00 PM,I like Pudding.cool!
China,Beihai,"English, Chinese",2,Windows,Andriod,Data analyst,Elephant,Dolphin,Sea Turtle,Navy,8,-1,0,10:00:00 AM,1:00:00 AM,Bar graph
United States of America,Newton,"English, Chinese",2,Windows,Andriod,Healthcare,Dog,Cat,Dolphin,red,19,-2,2,8:30:00 AM,1:30:00 AM,Scatterplot
Brazil,São Paulo,"Portuguese, English, Spanish",3,Apple,Apple iOS,Finance,Elephant,Sea Turtle,Dolphin,Blue,69,29,2,8:00:00 AM,12:00:00 AM,The Water Lily Pond by Monet
United States of America,Chicago,English,1,Apple,Apple iOS,Epidemiology ,Sea Turtle,Moose,Flying squirrel,Orange,10,1,0,9:00:00 AM,1:00:00 AM,Not sure
United States of America,San Jose ,"English, Telugu, Hindi",3,Apple,Apple iOS,"Analytics, Sciences, Business, Design",Dolphin,Llama,Elephant,White,8,4,0.5,6:00:00 AM,12:00:00 AM,https://www.washingtonpost.com/graphics/national/eclipse/
United States of America,Arlington,"English, Spanish, Bulgarian",3,Windows,Apple iOS,Healthcare,Flying squirrel,Sea Turtle,Elephant,Baby Pink,11,4,0,11:00:00 AM,2:00:00 AM,Bar graph
Canada,Toronto,English,1,Apple,Apple iOS,"Finance, Business intelligence",Dog,Moose,Sea Turtle,Blue,13,2,2,8:00:00 AM,12:00:00 AM,ScatterPlot
United States of America,Chicago,English,1,Linux/Unix,Andriod,Social justice/research,Moose,Llama,Hedgehog,Purple,77,1,1,9:00:00 AM,12:30:00 AM,https://digg.com/travel/link/24-hours-of-flights-between-europe-and-the-united-states-visualized-9ts0HMu9jA
United States of America,San Francisco,English,1,Windows,Apple iOS,Healthcare,Flying squirrel,Sea Turtle,Elephant,Red,8,-1,0,9:00:00 AM,12:00:00 AM,Bar graph
United States of America,Glendale,English,1,Windows,Apple iOS,Political and Social Data,Cat,Elephant,Flying squirrel,Purple,10,-4,1,6:00:00 AM,10:00:00 PM,Histogram
United States of America,Minneapolis,English,1,Apple,Apple iOS,"Marketing, Human-Computer Interaction, Research",Hedgehog,Sea Turtle,Dolphin,Cerulean,22,-4,0,7:00:00 AM,11:00:00 PM,Word cloud
United States of America,Boston,Mandarin,1,Apple,Apple iOS,"Music, Fitness, City Planning",Sea Turtle,Cat,Moose,Pastel Mint Green,13,-4,0,10:00:00 AM,2:00:00 AM,Heat Map
United States of America,Everett ,"English, Telugu",2,Windows,Apple iOS,"Healthcare, psychology, economics, humanities",Cat,Dog,Llama,Green,7,-4,0,9:15:00 AM,2:30:00 AM,After Babylon
Bulgaria,Silistra,"English, Bulgarian",2,Windows,Apple iOS,Healthcare,Cat,Flying squirrel,Moose,Purple,0,-9,1,9:30:00 AM,1:00:00 AM,I am big into soccer analytics so I really enjoy viewing visualizations of soccer event data and advanced stats.
United States of America,Lafayette,"English, French ",2,Apple,Apple iOS,"Big data, cloud computing",Dog,Moose,Dolphin,Blue,2,-8,2,9:30:00 AM,1:00:00 AM,Flow of data among many applications 
Ethiopia,Addis Abeba,"English, Amharic",2,Windows,Apple iOS,I would be interested in using it for design,Elephant,Cat,Sea Turtle,Yellow,8,24,0,8:00:00 AM,12:00:00 AM,polls on map of USA
United States of America,Yonkers,"English, Korean",2,Windows,Apple iOS,I think data and business analysts can benefit the most from it because they can convey the meaning of large data sets to their managers,Dog,Cat,Moose,Blue,11,-9,0,10:00:00 AM,3:00:00 AM,Bar graph
United States of America,Chicago,"English, Spanish",2,"Use Apple a lot, but more versed on windows",Apple iOS,"Public Service, Finance, Tech",Cat,Dolphin,Flying squirrel,Red,8,-10,1.5,8:00:00 AM,1:00:00 AM,"Object based, whether it be a map with specific regions to click on, or objects on a page that describe the type of data you are looking at"
India,Hyderabad,"English, Telugu ",2,Apple,Apple iOS,"Marketing, Politcs",Llama,Cat,Elephant,Orange,21,-11,0.3,11:00:00 AM,2:30:00 AM,The kobe bryant shot chart.
United States of America,Colorado Springs,Spanish,2,Windows,Apple iOS,"Machine Learning, Healthcare",Dog,Flying squirrel,Dolphin,Sunset orange,13,8,0,5:00:00 AM,9:00:00 PM,A mosaic
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
